Year,Country,alpha_3,Region,Latitude,Longitude,Jahrestemperatur
1937,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.6
1938,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.5
1939,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.1
1940,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.0
1941,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.0
1942,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.9
1943,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.7
1944,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.5
1945,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.5
1946,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.7
1947,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.2
1948,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.4
1949,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.7
1950,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.2
1951,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.5
1952,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.6
1953,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.0
1954,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.2
1955,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.7
1956,Switzerland,CHE,Lugano,46.003601,8.953619999999999,10.8
1957,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.6
1958,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.0
1959,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.1
1960,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.1
1961,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.2
1962,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.4
1963,Switzerland,CHE,Lugano,46.003601,8.953619999999999,10.9
1964,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.8
1965,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.0
1966,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.6
1967,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.9
1968,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.3
1969,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.1
1970,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.3
1971,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.8
1972,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.3
1973,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.7
1974,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.9
1975,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.8
1976,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.9
1977,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.3
1978,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.1
1979,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.4
1980,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.1
1981,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.6
1982,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.1
1983,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.9
1984,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.3
1985,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.5
1986,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.8
1987,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.6
1988,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.3
1989,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.3
1990,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.6
1991,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.3
1992,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.4
1993,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.1
1994,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.1
1995,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.5
1996,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.1
1997,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.0
1998,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.4
1999,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.6
2000,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.0
2001,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.7
2002,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.9
2003,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.3
2004,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.6
2005,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.6
2006,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.1
2007,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.5
2008,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.7
2009,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.2
2010,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.1
2011,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.5
2012,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.2
2013,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.8
2014,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.5
2015,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.8
2016,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.3
2017,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.4
2018,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.9
2019,Switzerland,CHE,Lugano,46.003601,8.953619999999999,13.9
1931,Switzerland,CHE,Luzern,47.04554,8.308010000000001,7.8
1932,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.1
1933,Switzerland,CHE,Luzern,47.04554,8.308010000000001,7.9
1934,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.1
1935,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.3
1936,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.7
1937,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.8
1938,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.4
1939,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.2
1940,Switzerland,CHE,Luzern,47.04554,8.308010000000001,7.4
1941,Switzerland,CHE,Luzern,47.04554,8.308010000000001,7.7
1942,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.1
1943,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.4
1944,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.3
1945,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.0
1946,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.9
1947,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.7
1948,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.3
1949,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.6
1950,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.2
1951,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.8
1952,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.9
1953,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.8
1954,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.3
1955,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.5
1956,Switzerland,CHE,Luzern,47.04554,8.308010000000001,7.4
1957,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.7
1958,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.8
1959,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.2
1960,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.7
1961,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.7
1962,Switzerland,CHE,Luzern,47.04554,8.308010000000001,7.9
1963,Switzerland,CHE,Luzern,47.04554,8.308010000000001,7.5
1964,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.8
1965,Switzerland,CHE,Luzern,47.04554,8.308010000000001,7.9
1966,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.0
1967,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.0
1968,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.6
1969,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.2
1970,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.1
1971,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.3
1972,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.0
1973,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.4
1974,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.1
1975,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.8
1976,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.0
1977,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.0
1978,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.0
1979,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.7
1980,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.3
1981,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.8
1982,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.3
1983,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.5
1984,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.5
1985,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.3
1986,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.7
1987,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.7
1988,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.9
1989,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.8
1990,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.0
1991,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.1
1992,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.8
1993,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.5
1994,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.9
1995,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.7
1996,Switzerland,CHE,Luzern,47.04554,8.308010000000001,8.7
1997,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.8
1998,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.8
1999,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.6
2000,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.4
2001,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.9
2002,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.4
2003,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.4
2004,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.8
2005,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.5
2006,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.1
2007,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.4
2008,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.9
2009,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.2
2010,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.2
2011,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.7
2012,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.1
2013,Switzerland,CHE,Luzern,47.04554,8.308010000000001,9.5
2014,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.9
2015,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.8
2016,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.3
2017,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.4
2018,Switzerland,CHE,Luzern,47.04554,8.308010000000001,11.4
2019,Switzerland,CHE,Luzern,47.04554,8.308010000000001,10.9
1931,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.4
1932,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.6
1933,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.5
1934,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.8
1935,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.9
1936,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.2
1937,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.3
1938,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.0
1939,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.5
1940,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.1
1941,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.3
1942,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.7
1943,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.1
1944,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.1
1945,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.9
1946,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.4
1947,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.5
1948,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.7
1949,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.2
1950,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.7
1951,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.3
1952,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.6
1953,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.2
1954,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.9
1955,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.9
1956,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,7.8
1957,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.2
1958,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.3
1959,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.1
1960,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.3
1961,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.3
1962,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.7
1963,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.1
1964,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.5
1965,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.5
1966,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.7
1967,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.7
1968,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.3
1969,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.9
1970,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.9
1971,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.2
1972,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.8
1973,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.1
1974,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.8
1975,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.6
1976,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.8
1977,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.6
1978,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.8
1979,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.5
1980,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,8.8
1981,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.5
1982,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.1
1983,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.0
1984,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.2
1985,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.2
1986,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.4
1987,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.4
1988,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.1
1989,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.3
1990,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.5
1991,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.7
1992,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.4
1993,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.0
1994,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,11.4
1995,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.3
1996,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.4
1997,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.4
1998,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.4
1999,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.3
2000,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,11.0
2001,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.4
2002,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.9
2003,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,11.1
2004,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.3
2005,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.0
2006,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.7
2007,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.8
2008,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.3
2009,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.8
2010,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.8
2011,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,11.3
2012,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.6
2013,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.0
2014,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,11.3
2015,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,11.5
2016,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,10.8
2017,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,11.2
2018,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,11.8
2019,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,11.3
1931,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.8
1932,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.7
1933,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.8
1934,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.0
1935,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.7
1936,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.2
1937,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.3
1938,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.0
1939,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.4
1940,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-3.1
1941,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-3.0
1942,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.9
1943,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.1
1944,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.8
1945,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.6
1946,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.5
1947,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.9
1948,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.9
1949,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.1
1950,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.3
1951,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.5
1952,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.5
1953,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.0
1954,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.6
1955,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.4
1956,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-3.3
1957,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.4
1958,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.6
1959,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.8
1960,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.2
1961,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.9
1962,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.9
1963,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.3
1964,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.2
1965,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-3.1
1966,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.2
1967,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.8
1968,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.1
1969,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.3
1970,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.7
1971,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.6
1972,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.1
1973,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.3
1974,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.6
1975,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.4
1976,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.0
1977,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.7
1978,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.1
1979,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.2
1980,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.8
1981,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.5
1982,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.2
1983,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.8
1984,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.6
1985,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.1
1986,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.8
1987,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.8
1988,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.4
1989,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.2
1990,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.9
1991,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.4
1992,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.4
1993,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.3
1994,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.4
1995,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.6
1996,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.7
1997,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.4
1998,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.2
1999,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.1
2000,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.6
2001,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.1
2002,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.4
2003,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.1
2004,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.3
2005,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.8
2006,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.3
2007,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.5
2008,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.9
2009,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.0
2010,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-2.1
2011,Switzerland,CHE,Säntis,47.256459,9.317421000000001,0.3
2012,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.7
2013,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-1.1
2014,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.1
2015,Switzerland,CHE,Säntis,47.256459,9.317421000000001,0.2
2016,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.6
2017,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.6
2018,Switzerland,CHE,Säntis,47.256459,9.317421000000001,0.3
2019,Switzerland,CHE,Säntis,47.256459,9.317421000000001,-0.1
1931,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.6
1932,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.0
1933,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.6
1934,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.5
1935,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.7
1936,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.2
1937,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.4
1938,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.1
1939,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.9
1940,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.2
