Year,Country,alpha_3,Region,Latitude,Longitude,Jahrestemperatur
1941,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.4
1942,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.7
1943,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.0
1944,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.9
1945,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.6
1946,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.5
1947,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.3
1948,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.0
1949,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.9
1950,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.5
1951,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.7
1952,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.4
1953,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.7
1954,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.4
1955,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.0
1956,Switzerland,CHE,Samedan,46.438365000000005,9.870266,-0.1
1957,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.3
1958,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.1
1959,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.4
1960,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.8
1961,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.8
1962,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.4
1963,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.3
1964,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.8
1965,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.4
1966,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.4
1967,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.9
1968,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.8
1969,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.9
1970,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.7
1971,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.1
1972,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.2
1973,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.2
1974,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.4
1975,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.1
1976,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.2
1977,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.4
1978,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.0
1979,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.0
1980,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.5
1981,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.3
1982,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.9
1983,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.7
1984,Switzerland,CHE,Samedan,46.438365000000005,9.870266,0.7
1985,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.1
1986,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.4
1987,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.6
1988,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.5
1989,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.2
1990,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.0
1991,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.2
1992,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.6
1993,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.8
1994,Switzerland,CHE,Samedan,46.438365000000005,9.870266,3.1
1995,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.9
1996,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.4
1997,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.9
1998,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.9
1999,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.9
2000,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.4
2001,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.2
2002,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.9
2003,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.4
2004,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.2
2005,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.5
2006,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.5
2007,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.8
2008,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.4
2009,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.2
2010,Switzerland,CHE,Samedan,46.438365000000005,9.870266,1.5
2011,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.9
2012,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.4
2013,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.1
2014,Switzerland,CHE,Samedan,46.438365000000005,9.870266,3.2
2015,Switzerland,CHE,Samedan,46.438365000000005,9.870266,3.4
2016,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.8
2017,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.6
2018,Switzerland,CHE,Samedan,46.438365000000005,9.870266,3.1
2019,Switzerland,CHE,Samedan,46.438365000000005,9.870266,2.8
1931,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.1
1932,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.7
1933,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.8
1934,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.4
1935,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.9
1936,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.1
1937,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.5
1938,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.2
1939,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.9
1940,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.1
1941,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.2
1942,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.0
1943,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.9
1944,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.5
1945,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.4
1946,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.2
1947,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.3
1948,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.7
1949,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.0
1950,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.6
1951,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.4
1952,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.2
1953,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.1
1954,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.7
1955,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.0
1956,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,7.9
1957,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.1
1958,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.0
1959,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.1
1960,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.5
1961,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.0
1962,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.7
1963,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.4
1964,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.2
1965,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.3
1966,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.4
1967,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.5
1968,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.3
1969,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.8
1970,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.0
1971,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.1
1972,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.2
1973,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.8
1974,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.3
1975,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.3
1976,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.4
1977,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.4
1978,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.2
1979,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.0
1980,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.2
1981,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.2
1982,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.8
1983,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.5
1984,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.9
1985,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,8.7
1986,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.4
1987,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.3
1988,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.1
1989,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.9
1990,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.2
1991,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.7
1992,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.2
1993,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.3
1994,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,11.1
1995,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.2
1996,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.9
1997,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.6
1998,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.2
1999,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.1
2000,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.8
2001,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.3
2002,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.9
2003,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,11.3
2004,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.4
2005,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.8
2006,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.6
2007,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.8
2008,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.8
2009,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.7
2010,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.1
2011,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,11.3
2012,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,11.0
2013,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.4
2014,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,11.8
2015,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,11.5
2016,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,11.2
2017,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,11.3
2018,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,12.4
2019,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,11.8
1931,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.2
1932,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.8
1933,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.3
1934,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.9
1935,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.9
1936,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.3
1937,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.6
1938,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.1
1939,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.9
1940,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.1
1941,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.4
1942,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.9
1943,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.9
1944,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.0
1945,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.7
1946,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.5
1947,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.2
1948,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.8
1949,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.0
1950,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.9
1951,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.8
1952,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.4
1953,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.4
1954,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.8
1955,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.8
1956,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.0
1957,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.5
1958,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.5
1959,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.9
1960,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.6
1961,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.4
1962,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.5
1963,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.3
1964,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.3
1965,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.6
1966,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.8
1967,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.7
1968,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.2
1969,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.9
1970,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.0
1971,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.3
1972,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.9
1973,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.1
1974,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.8
1975,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.6
1976,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.5
1977,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.9
1978,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.8
1979,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.5
1980,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.8
1981,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.5
1982,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.1
1983,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.2
1984,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.0
1985,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.0
1986,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.3
1987,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.3
1988,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.4
1989,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.5
1990,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.8
1991,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.5
1992,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.6
1993,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.0
1994,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.4
1995,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.1
1996,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,6.9
1997,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.5
1998,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.6
1999,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.4
2000,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.4
2001,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.4
2002,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.1
2003,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.1
2004,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.2
2005,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.1
2006,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.8
2007,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.1
2008,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.6
2009,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.9
2010,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.6
2011,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.4
2012,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,8.6
2013,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,7.9
2014,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.6
2015,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.6
2016,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.0
2017,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.1
2018,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.9
2019,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,9.5
1931,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.4
1932,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.8
1933,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.6
1934,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.9
1935,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.2
1936,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.4
1937,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.6
1938,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.2
1939,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.9
1940,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.1
1941,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.4
1942,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.9
1943,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.2
1944,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.2
1945,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.0
1946,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.6
1947,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.4
1948,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.9
1949,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.4
1950,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.0
1951,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.6
1952,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.6
1953,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.5
1954,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.0
1955,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.1
1956,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.1
1957,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.6
1958,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.6
1959,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.2
1960,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.6
1961,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.5
1962,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.6
1963,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.4
1964,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.5
1965,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.6
1966,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.7
1967,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.7
1968,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.2
1969,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.0
1970,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.9
1971,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.3
1972,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.9
1973,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.0
1974,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.9
1975,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.6
1976,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.6
1977,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.9
1978,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.9
1979,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.5
1980,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,7.9
1981,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.6
1982,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.2
1983,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.3
1984,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.3
1985,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.2
1986,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.4
1987,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.3
1988,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.4
1989,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.4
1990,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.7
1991,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.9
1992,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.5
1993,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.1
1994,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,10.5
1995,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.2
1996,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.1
1997,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.4
1998,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.5
1999,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.4
2000,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,10.2
2001,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.4
2002,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,10.2
2003,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,10.1
2004,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.5
2005,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.3
2006,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.8
2007,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,10.1
2008,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.6
2009,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.9
2010,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,8.8
2011,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,10.5
2012,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.7
2013,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.1
2014,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,10.6
2015,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,10.6
2016,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,9.9
2017,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,10.2
2018,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,11.1
2019,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,10.5
